"Data generated on Tuesday, December 06, 2016 at 11:20:23 AM EST",,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January - December,,,,,,,,,
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,
,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Partner Code
45,Bosnia and Herzegovina,1,Coffee & Coffee Pdts,646,886,683,"1,022","1,004","1,288",954,"1,499","1,554","1,659",BK
46,Portugal,1,Coffee & Coffee Pdts,654,681,627,694,887,"1,157","1,540","1,226","1,222","1,529",PO
47,Cameroon,1,Coffee & Coffee Pdts,"2,413",945,"3,896",325,"2,106","5,932","11,545","16,740","2,177","3,790",CM
48,Yemen(*),1,Coffee & Coffee Pdts,"4,034","4,206","4,323","4,964","1,828","3,185",426,"1,709","1,310","1,374",YM
49,Djibouti,1,Coffee & Coffee Pdts,560,788,820,995,179,633,816,"1,344",319,738,DJ
50,Malawi,1,Coffee & Coffee Pdts,44,178,50,399,623,274,545,649,"1,035","1,478",MI
51,South Africa,1,Coffee & Coffee Pdts,234,822,218,481,234,130,498,310,911,901,SF
52,Japan,1,Coffee & Coffee Pdts,"1,097","1,029","1,506","6,868","7,317","8,136","10,870","5,417","5,409","1,836",JA
53,Jordan,1,Coffee & Coffee Pdts,23,23,38,15,118,220,390,355,659,554,JO
54,Turkey,1,Coffee & Coffee Pdts,121,160,167,225,334,357,348,452,493,690,TU
55,Taiwan,1,Coffee & Coffee Pdts,185,258,119,164,611,527,523,657,966,710,TW
56,Denmark(*),1,Coffee & Coffee Pdts,0,0,0,0,0,0,35,107,261,321,DA
57,Philippines,1,Coffee & Coffee Pdts,28,9,16,11,88,87,198,284,500,505,RP
58,Haiti,1,Coffee & Coffee Pdts,79,145,120,185,39,88,449,640,585,388,HA
59,Ireland,1,Coffee & Coffee Pdts,32,11,12,41,14,19,76,210,365,334,EI
60,Congo (Brazzaville),1,Coffee & Coffee Pdts,70,141,49,75,0,90,243,391,106,404,CF
61,Serbia,1,Coffee & Coffee Pdts,0,0,0,0,152,266,398,675,495,638,R1
62,Egypt,1,Coffee & Coffee Pdts,372,309,265,386,466,182,616,"1,480","1,064",601,EG
63,Austria,1,Coffee & Coffee Pdts,143,205,193,216,266,382,486,307,73,309,AU
64,Australia(*),1,Coffee & Coffee Pdts,118,426,180,109,45,47,40,104,146,320,AS
65,Bulgaria,1,Coffee & Coffee Pdts,0,5,2,3,145,15,30,43,144,73,BU
66,Chile,1,Coffee & Coffee Pdts,64,10,102,153,34,98,85,3,142,2,CI
