2000,10.3
2001,9.5
2002,9.2
2003,9.5
2004,9.6
2005,9.5
2006,9.5
2007,9.6
2008,9.5
2009,9.1
2010,9.2
2011,9.6
2012,9.7
2013,9.9
2014,10
